Year,Month,Layer,Station,Region,Class,Species,Group,TrophicMode,m,un
2022,10,Surface,11,Front,Bacillariophyceae,Cylindrotheca closterium,Diatoms,Autotroph,0,0.01
2022,10,Surface,11,Front,Bacillariophyceae,Eucampia cornuta,Diatoms,Autotroph,0,0.357878972
2022,10,Surface,11,Front,Bacillariophyceae,Guinardia delicatula,Diatoms,Autotroph,0,0.262881696
2022,10,Surface,11,Front,Bacillariophyceae,Lauderia sp.,Diatoms,Autotroph,0,1.864265352
2022,10,Surface,11,Front,Bacillariophyceae,Leptocylindrus danicus,Diatoms,Autotroph,0,0.109804586
2023,10,SCM,1,Coast,Bacillariophyceae,Pseudo-nitzschia spp.,Diatoms,Autotroph,0,0.034482151
2022,10,Surface,11,Front,Bacillariophyceae,Rhizosolenia setigera,Diatoms,Autotroph,0,0.01
2022,10,Surface,11,Front,Bacillariophyceae,Skeletonema costatum,Diatoms,Autotroph,0,0.09928232
2022,10,Surface,11,Front,Dictyochophyceae,Dictyocha fibula,Others,Autotroph,0,0.04539834
2023,10,Surface,13,Coast,Dinophyceae,Gyrodinium sp.,Others,Mixotroph,0,0.01
2022,10,Surface,13,Coast,Bacillariophyceae,Amphiprora sp.,Diatoms,Autotroph,0,0.01
2022,10,Surface,13,Coast,Bacillariophyceae,Chaetoceros curvisetus,Diatoms,Autotroph,0,0.01
2022,10,Surface,13,Coast,Bacillariophyceae,Chaetoceros danicus,Diatoms,Autotroph,0,0.030768545
2022,10,Surface,13,Coast,Bacillariophyceae,Chaetoceros decipiens,Diatoms,Autotroph,0,0.01
2022,10,Surface,13,Coast,Bacillariophyceae,Chaetoceros didymus,Diatoms,Autotroph,0,0.01
2022,10,Surface,13,Coast,Bacillariophyceae,Chaetoceros lorenzianus,Diatoms,Autotroph,0,0.01
2022,10,Surface,13,Coast,Bacillariophyceae,Chaetoceros sp.,Diatoms,Autotroph,0,0.01
2022,10,Surface,13,Coast,Bacillariophyceae,Cylindrotheca closterium,Diatoms,Autotroph,0,0.01
2022,10,Surface,13,Coast,Bacillariophyceae,Dactyliosolen fragilissimus,Diatoms,Autotroph,0,0.907925247
2022,10,Surface,13,Coast,Bacillariophyceae,Ditylum brightwellii,Diatoms,Autotroph,0,1.603368954
2022,10,Surface,13,Coast,Bacillariophyceae,Guinardia delicatula,Diatoms,Autotroph,0,0.01
2022,10,Surface,13,Coast,Bacillariophyceae,Skeletonema costatum,Diatoms,Autotroph,0,0.01
2022,10,Surface,13,Coast,Bacillariophyceae,Stauroneis membranacea,Diatoms,Autotroph,0,0.01
2022,10,Surface,13,Coast,Bacillariophyceae,Trieres mobiliensis,Diatoms,Autotroph,0,1.459716242
2022,10,Surface,13,Coast,Dictyochophyceae,Dictyocha fibula,Others,Autotroph,0,0.01
2022,10,Surface,13,Coast,Dictyochophyceae,Octactis sp.eculum,Others,Autotroph,0,0.01
2022,10,SCM,1,Coast,Bacillariophyceae,Chaetoceros affinis,Diatoms,Autotroph,0,0.01
2022,10,SCM,1,Coast,Bacillariophyceae,Coscinodiscus sp.,Diatoms,Autotroph,0,0.01
2022,10,SCM,1,Coast,Bacillariophyceae,Dactyliosolen fragilissimus,Diatoms,Autotroph,0,0.012321608
2022,10,SCM,1,Coast,Bacillariophyceae,Guinardia delicatula,Diatoms,Autotroph,0,0.01
2022,10,SCM,1,Coast,Bacillariophyceae,Rhizosolenia alata,Diatoms,Autotroph,0,0.013534135
2022,10,SCM,1,Coast,Bacillariophyceae,Rhizosolenia setigera,Diatoms,Autotroph,0,0.006379685
2022,10,SCM,1,Coast,Bacillariophyceae,Thalassionema sp.,Diatoms,Autotroph,0,0.01
2023,10,Surface,13,Coast,Bacillariophyceae,Thalassiosira sp.,Diatoms,Autotroph,0,1.87189906
2022,4,Surface,1,Coast,Dinophyceae,Katodinium glaucum,Others,Mixotroph,0,1.371003554
2022,10,SCM,4,Front,Bacillariophyceae,Thalassionema sp.,Diatoms,Autotroph,0,0.090859161
2022,10,SCM,6,Offshore,Bacillariophyceae,Licmophora sp.,Diatoms,Autotroph,0,1.161585903
2022,10,SCM,6,Offshore,Dictyochophyceae,Octactis sp.eculum,Others,Autotroph,0,0.01
2022,10,SCM,11,Front,Bacillariophyceae,Cylindrotheca closterium,Diatoms,Autotroph,0,0.01
2022,10,SCM,11,Front,Dictyochophyceae,Dictyocha fibula,Others,Autotroph,0,1.032665718
2023,10,SCM,1,Coast,Dinophyceae,Katodinium glaucum,Others,Mixotroph,0,1.195405644
2022,10,SCM,13,Coast,Bacillariophyceae,Asterionellopsis glacialis,Diatoms,Autotroph,0,0.148691259
2022,10,SCM,13,Coast,Bacillariophyceae,Chaetoceros curvisetus,Diatoms,Autotroph,0,0.33192782
2022,10,SCM,13,Coast,Bacillariophyceae,Chaetoceros didymus,Diatoms,Autotroph,0,1.134580821
2022,10,SCM,13,Coast,Bacillariophyceae,Chaetoceros lorenzianus,Diatoms,Autotroph,0,0.536449476
2022,10,SCM,13,Coast,Bacillariophyceae,Cylindrotheca closterium,Diatoms,Autotroph,0,0.01
2022,10,SCM,13,Coast,Bacillariophyceae,Eucampia zodiacus,Diatoms,Autotroph,0,2.067793561
2022,10,SCM,13,Coast,Bacillariophyceae,Guinardia striata,Diatoms,Autotroph,0,0.01
2022,10,SCM,13,Coast,Bacillariophyceae,Leptocylindrus danicus,Diatoms,Autotroph,0,0.01
2022,10,SCM,13,Coast,Bacillariophyceae,Paralia sulcata,Diatoms,Autotroph,0,0.079349618
2022,10,SCM,13,Coast,Bacillariophyceae,Skeletonema costatum,Diatoms,Autotroph,0,0.166143755
2022,10,SCM,13,Coast,Bacillariophyceae,Thalassionema sp.,Diatoms,Autotroph,0,0.01
2022,10,SCM,13,Coast,Bacillariophyceae,Trieres mobiliensis,Diatoms,Autotroph,0,2.082696934
2022,10,SCM,13,Coast,Dictyochophyceae,Dictyocha fibula,Others,Autotroph,0,0.01
2022,10,SCM,13,Coast,Dictyochophyceae,Octactis sp.eculum,Others,Autotroph,0,0.161187031
2023,5,Surface,1,Coast,Bacillariophyceae,Chaetoceros affinis,Diatoms,Autotroph,0,0.897351296
2023,5,Surface,1,Coast,Bacillariophyceae,Chaetoceros compressus,Diatoms,Autotroph,0,0.805575477
2023,5,Surface,1,Coast,Bacillariophyceae,Chaetoceros curvisetus,Diatoms,Autotroph,0,1.696764709
2023,5,Surface,1,Coast,Bacillariophyceae,Chaetoceros debilis,Diatoms,Autotroph,0,0.614113431
2023,5,Surface,1,Coast,Bacillariophyceae,Chaetoceros didymus,Diatoms,Autotroph,0,1.039936303
2023,5,Surface,1,Coast,Bacillariophyceae,Chaetoceros sp.,Diatoms,Autotroph,0,0.01
2023,5,Surface,1,Coast,Bacillariophyceae,Cylindrotheca closterium,Diatoms,Autotroph,0,1.407498391
2023,5,Surface,1,Coast,Bacillariophyceae,Dactyliosolen fragilissimus,Diatoms,Autotroph,0,0.01
2023,5,Surface,1,Coast,Bacillariophyceae,Eucampia zodiacus,Diatoms,Autotroph,0,1.688145237
2023,5,Surface,1,Coast,Bacillariophyceae,Guinardia delicatula,Diatoms,Autotroph,0,1.170357257
2023,5,Surface,1,Coast,Bacillariophyceae,Guinardia striata,Diatoms,Autotroph,0,0.949450193
2023,5,Surface,1,Coast,Bacillariophyceae,Rhizosolenia hebetata,Diatoms,Autotroph,0,2.467805571
2023,5,Surface,1,Coast,Bacillariophyceae,Skeletonema costatum,Diatoms,Autotroph,0,2.441356458
2022,10,SCM,1,Coast,Bacillariophyceae,Thalassiosira sp.,Diatoms,Autotroph,0,0.008895324
2023,5,Surface,4,Front,Cryptophyceae,Cryptomonas sp.,Others,Mixotroph,0,1.248374245
2023,5,Surface,1,Coast,Dictyochophyceae,Dictyocha fibula,Others,Autotroph,0,1.195405644
2023,10,Surface,11,Front,Dinophyceae,Prorocentrum obtusidens,Others,Mixotroph,0,0.01
2023,5,Surface,1,Coast,Euglenophyceae,Eutreptiella gymnastica,Diatoms,Autotroph,0,2.838335861
2022,10,SCM,11,Front,Dinophyceae,Prorocentrum sp.,Others,Mixotroph,0,0.01
2023,5,Surface,6,Offshore,Bacillariophyceae,Dactyliosolen fragilissimus,Diatoms,Autotroph,0,0.01
2023,8,SCM,11,Front,Dinophyceae,Prorocentrum triestinum,Others,Autotroph,0,0.01
2023,5,Surface,4,Front,Dinophyceae,Protoperidinium bipes,Others,Heterotroph,0,0.01
2023,5,Surface,13,Coast,Bacillariophyceae,Chaetoceros decipiens,Diatoms,Autotroph,0,0.698013696
2023,5,Surface,13,Coast,Bacillariophyceae,Chaetoceros diadema,Diatoms,Autotroph,0,1.669406441
2023,5,Surface,13,Coast,Bacillariophyceae,Chaetoceros sp.,Diatoms,Autotroph,0,0.735952982
2023,5,Surface,13,Coast,Bacillariophyceae,Cylindrotheca closterium,Diatoms,Autotroph,0,1.387783204
2023,5,Surface,13,Coast,Bacillariophyceae,Guinardia delicatula,Diatoms,Autotroph,0,0.181768646
2023,5,Surface,13,Coast,Bacillariophyceae,Leptocylindrus danicus,Diatoms,Autotroph,0,0.01
2023,5,Surface,13,Coast,Bacillariophyceae,Navicula sp.,Diatoms,Autotroph,0,0.01
2023,5,Surface,13,Coast,Bacillariophyceae,Paralia sulcata,Diatoms,Autotroph,0,0.01
2023,5,Surface,13,Coast,Bacillariophyceae,Rhizosolenia pungens,Diatoms,Autotroph,0,0.01
2023,5,Surface,13,Coast,Bacillariophyceae,Rhizosolenia setigera,Diatoms,Autotroph,0,0.01
2023,5,Surface,13,Coast,Bacillariophyceae,Rhizosolenia sp.,Diatoms,Autotroph,0,0.01
2023,5,Surface,13,Coast,Bacillariophyceae,Thalassionema frauenfeldii,Diatoms,Autotroph,0,1.582912897
2022,4,Surface,1,Coast,Dinophyceae,Protoperidinium brochii,Others,Heterotroph,0,0.01
2023,5,SCM,1,Coast,Bacillariophyceae,Chaetoceros sp.,Diatoms,Autotroph,0,0.01
2022,4,Surface,13,Coast,Dinophyceae,Protoperidinium sp.,Others,Heterotroph,0,1.822246956
2022,10,Surface,1,Coast,Dinophyceae,Protoperidinium sp.,Others,Heterotroph,0,0.01
2023,5,SCM,6,Offshore,Bacillariophyceae,Bacteriastrum delicatulum,Diatoms,Autotroph,0,0.01
2023,5,SCM,11,Front,Bacillariophyceae,Amphiprora sp.,Diatoms,Autotroph,0,0.581169399
2023,5,SCM,11,Front,Bacillariophyceae,Dactyliosolen fragilissimus,Diatoms,Autotroph,0,0.01
2023,5,SCM,11,Front,Bacillariophyceae,Lauderia sp.,Diatoms,Autotroph,0,0.01
2023,5,SCM,11,Front,Dictyochophyceae,Dictyocha fibula,Others,Autotroph,0,1.367421351
2022,10,SCM,1,Coast,Dinophyceae,Protoperidinium sp.,Others,Heterotroph,0,0.01
2022,10,SCM,13,Coast,Dinophyceae,Protoperidinium sp.,Others,Heterotroph,0,0.01
2023,5,SCM,13,Coast,Bacillariophyceae,Chaetoceros sp.,Diatoms,Autotroph,0,0.359688639
2023,5,SCM,13,Coast,Bacillariophyceae,Cylindrotheca closterium,Diatoms,Autotroph,0,0.01
2023,5,SCM,13,Coast,Bacillariophyceae,Paralia sulcata,Diatoms,Autotroph,0,0.01
2023,5,SCM,13,Coast,Bacillariophyceae,Rhizosolenia setigera,Diatoms,Autotroph,0,0.01
2023,5,SCM,13,Coast,Bacillariophyceae,Rhizosolenia sp.,Diatoms,Autotroph,0,0.01
2023,8,Surface,1,Coast,Bacillariophyceae,Chaetoceros didymus,Diatoms,Autotroph,0,3.23990691
2023,8,Surface,1,Coast,Bacillariophyceae,Dactyliosolen fragilissimus,Diatoms,Autotroph,0,0.369929254
2023,8,Surface,1,Coast,Bacillariophyceae,Dactyliosolen phuketensis,Diatoms,Autotroph,0,0.126224945
2023,8,Surface,1,Coast,Bacillariophyceae,Guinardia delicatula,Diatoms,Autotroph,0,0.01
2023,8,Surface,1,Coast,Bacillariophyceae,Guinardia flaccida,Diatoms,Autotroph,0,0.01
2023,8,Surface,1,Coast,Bacillariophyceae,Navicula sp.,Diatoms,Autotroph,0,0.01
2023,8,Surface,6,Offshore,Dinophyceae,Protoperidinium sp.,Others,Heterotroph,0,1.195405644
2023,8,SCM,13,Coast,Dinophyceae,Protoperidinium sp.,Others,Heterotroph,0,0.01
2023,8,Surface,4,Front,Bacillariophyceae,Skeletonema costatum,Diatoms,Autotroph,0,0.01
2023,10,SCM,11,Front,Dinophyceae,Protoperidinium sp.,Others,Heterotroph,0,0.01
2023,8,Surface,6,Offshore,Bacillariophyceae,Amphiprora gigantea,Diatoms,Autotroph,0,1.399160453
2023,8,Surface,6,Offshore,Bacillariophyceae,Thalassionema sp.,Diatoms,Autotroph,0,0.092450814
2023,10,SCM,1,Coast,Dinophyceae,Protoperidinium steinii,Others,Heterotroph,0,1.195405644
2023,8,Surface,11,Front,Bacillariophyceae,Chaetoceros lorenzianus,Diatoms,Autotroph,0,0.01
2023,8,Surface,11,Front,Bacillariophyceae,Dactyliosolen fragilissimus,Diatoms,Autotroph,0,0.01
2022,4,Surface,4,Front,Bacillariophyceae,Pseudo-nitzschia spp.,Diatoms,Autotroph,0,0.867899104
2023,8,Surface,11,Front,Dictyochophyceae,Dictyocha fibula,Others,Autotroph,0,0.01
2023,5,Surface,4,Front,Dinophyceae,Scrippsiella acuminata,Others,Mixotroph,0,1.278161165
2023,8,Surface,13,Coast,Bacillariophyceae,Amphiprora sp.,Diatoms,Autotroph,0,0.01
2023,8,Surface,13,Coast,Bacillariophyceae,Chaetoceros affinis,Diatoms,Autotroph,0,0.761162749
2023,8,Surface,13,Coast,Bacillariophyceae,Chaetoceros compressus,Diatoms,Autotroph,0,1.255480102
2023,8,Surface,13,Coast,Bacillariophyceae,Hemiaulus hauckii,Diatoms,Autotroph,0,1.028630163
2023,8,Surface,13,Coast,Bacillariophyceae,Leptocylindrus danicus,Diatoms,Autotroph,0,0.01
2023,8,Surface,13,Coast,Bacillariophyceae,Rhizosolenia sp.,Diatoms,Autotroph,0,0.01
2023,8,Surface,13,Coast,Bacillariophyceae,Thalassionema frauenfeldii,Diatoms,Autotroph,0,0.01
2022,4,Surface,1,Coast,Bacillariophyceae,Thalassiosira sp.,Diatoms,Autotroph,0,0.01
2023,8,Surface,13,Coast,Dictyochophyceae,Dictyocha fibula,Others,Autotroph,0,0.021533712
2023,5,SCM,13,Coast,Dinophyceae,Scrippsiella acuminata,Others,Mixotroph,0,0.01
2023,8,SCM,1,Coast,Bacillariophyceae,Chaetoceros affinis,Diatoms,Autotroph,0,2.26267127
2023,8,SCM,1,Coast,Bacillariophyceae,Chaetoceros laciniosus,Diatoms,Autotroph,0,0.622166117
2023,8,SCM,1,Coast,Bacillariophyceae,Chaetoceros lorenzianus,Diatoms,Autotroph,0,0.249703299
2022,10,Surface,1,Coast,Bacillariophyceae,Thalassiosira sp.,Diatoms,Autotroph,0,0.01
2022,10,Surface,6,Offshore,Bacillariophyceae,Pseudo-nitzschia spp.,Diatoms,Autotroph,0,0.01
2023,8,Surface,1,Coast,Dinophyceae,Scrippsiella acuminata,Others,Mixotroph,0,0.01
2023,8,Surface,11,Front,Dinophyceae,Scrippsiella acuminata,Others,Mixotroph,0,0.01
2023,8,Surface,13,Coast,Dinophyceae,Scrippsiella acuminata,Others,Mixotroph,0,0.01
2023,8,SCM,13,Coast,Dinophyceae,Scrippsiella acuminata,Others,Mixotroph,0,0.01
2023,8,SCM,4,Front,Bacillariophyceae,Paralia sulcata,Diatoms,Autotroph,0,0.01
2022,10,Surface,11,Front,Bacillariophyceae,Pseudo-nitzschia spp.,Diatoms,Autotroph,0,0.01
2022,10,Surface,11,Front,Bacillariophyceae,Thalassiosira sp.,Diatoms,Autotroph,0,0.01
2022,10,Surface,13,Coast,Bacillariophyceae,Pseudo-nitzschia spp.,Diatoms,Autotroph,0,0.01
2023,8,SCM,6,Offshore,Bacillariophyceae,Amphiprora gigantea,Diatoms,Autotroph,0,0.01
2023,8,SCM,6,Offshore,Bacillariophyceae,Amphiprora sp.,Diatoms,Autotroph,0,0.01
2023,8,SCM,6,Offshore,Bacillariophyceae,Chaetoceros didymus,Diatoms,Autotroph,0,0.01
2023,8,SCM,6,Offshore,Bacillariophyceae,Chaetoceros sp.,Diatoms,Autotroph,0,0.01
2023,8,SCM,6,Offshore,Bacillariophyceae,Cylindrotheca closterium,Diatoms,Autotroph,0,0.058925444
2023,8,SCM,6,Offshore,Bacillariophyceae,Guinardia delicatula,Diatoms,Autotroph,0,0.03556373
2023,8,SCM,6,Offshore,Bacillariophyceae,Guinardia flaccida,Diatoms,Autotroph,0,0.01
2023,8,SCM,6,Offshore,Bacillariophyceae,Pleurosigma angulatum,Diatoms,Autotroph,0,0.01
2023,5,Surface,13,Coast,Dinophyceae,Heterocapsa circularisquama,Others,Autotroph,0,0.01
2023,8,SCM,6,Offshore,Bacillariophyceae,Rhizosolenia calcaravis,Diatoms,Autotroph,0,1.255285737
2023,8,SCM,6,Offshore,Bacillariophyceae,Rhizosolenia pungens,Diatoms,Autotroph,0,0.01
2023,8,SCM,6,Offshore,Bacillariophyceae,Stauroneis membranacea,Diatoms,Autotroph,0,1.399160453
2023,8,SCM,6,Offshore,Bacillariophyceae,Thalassionema frauenfeldii,Diatoms,Autotroph,0,4.607518928
2023,5,SCM,6,Offshore,Dinophyceae,Heterocapsa circularisquama,Others,Autotroph,0,0.01
2023,10,Surface,11,Front,Dinophyceae,Heterocapsa circularisquama,Others,Autotroph,0,0.01
2023,10,Surface,13,Coast,Dinophyceae,Heterocapsa circularisquama,Others,Autotroph,0,0.01
2022,10,SCM,13,Coast,Bacillariophyceae,Pseudo-nitzschia spp.,Diatoms,Autotroph,0,0.01
2022,10,SCM,13,Coast,Bacillariophyceae,Thalassiosira sp.,Diatoms,Autotroph,0,0.01
2023,5,Surface,4,Front,Bacillariophyceae,Pseudo-nitzschia spp.,Diatoms,Autotroph,0,0.01
2023,5,Surface,13,Coast,Bacillariophyceae,Thalassiosira sp.,Diatoms,Autotroph,0,0.01
2023,8,SCM,11,Front,Bacillariophyceae,Actinoptychus sp.,Diatoms,Autotroph,0,0.01
2023,8,SCM,11,Front,Bacillariophyceae,Bacteriastrum delicatulum,Diatoms,Autotroph,0,0.01
2023,8,SCM,11,Front,Bacillariophyceae,Chaetoceros lorenzianus,Diatoms,Autotroph,0,1.33833563
2023,5,SCM,6,Offshore,Bacillariophyceae,Pseudo-nitzschia spp.,Diatoms,Autotroph,0,0.01
2023,8,SCM,11,Front,Bacillariophyceae,Rhizosolenia sp.,Diatoms,Autotroph,0,0.01
2023,5,SCM,13,Coast,Bacillariophyceae,Pseudo-nitzschia spp.,Diatoms,Autotroph,0,0.01
2023,5,SCM,13,Coast,Bacillariophyceae,Thalassiosira sp.,Diatoms,Autotroph,0,0.01
2023,8,Surface,11,Front,Bacillariophyceae,Thalassiosira sp.,Diatoms,Autotroph,0,0.01
2023,8,SCM,6,Offshore,Bacillariophyceae,Pseudo-nitzschia spp.,Diatoms,Autotroph,0,0.01
2023,8,SCM,11,Front,Bacillariophyceae,Thalassiosira sp.,Diatoms,Autotroph,0,0.01
2023,8,Surface,11,Front,Dinophyceae,Tripos furca,Others,Mixotroph,0,0.01
2023,8,Surface,13,Coast,Dinophyceae,Tripos furca,Others,Mixotroph,0,0.01
2023,8,SCM,13,Coast,Bacillariophyceae,Pseudo-nitzschia spp.,Diatoms,Autotroph,0,0.01
2023,8,SCM,13,Coast,Bacillariophyceae,Thalassiosira sp.,Diatoms,Autotroph,0,0.01
2023,8,SCM,13,Coast,Dinophyceae,Tripos furca,Others,Mixotroph,0,0.01
2023,8,SCM,13,Coast,Bacillariophyceae,Amphiprora sp.,Diatoms,Autotroph,0,0.01
2023,8,SCM,13,Coast,Bacillariophyceae,Asterionellopsis glacialis,Diatoms,Autotroph,0,1.279576274
2023,8,SCM,13,Coast,Bacillariophyceae,Bacteriastrum delicatulum,Diatoms,Autotroph,0,0.074257859
2023,8,SCM,13,Coast,Bacillariophyceae,Chaetoceros costatus,Diatoms,Autotroph,0,0.01
2023,8,SCM,13,Coast,Bacillariophyceae,Chaetoceros danicus,Diatoms,Autotroph,0,0.01
2023,8,SCM,13,Coast,Bacillariophyceae,Chaetoceros didymus,Diatoms,Autotroph,0,0.01
2023,8,SCM,13,Coast,Bacillariophyceae,Cylindrotheca closterium,Diatoms,Autotroph,0,1.130710898
2023,8,SCM,13,Coast,Bacillariophyceae,Dactyliosolen fragilissimus,Diatoms,Autotroph,0,0.01
2023,8,SCM,13,Coast,Bacillariophyceae,Ditylum brightwellii,Diatoms,Autotroph,0,0.01
2023,8,SCM,13,Coast,Bacillariophyceae,Eucampia zodiacus,Diatoms,Autotroph,0,0.01
2023,8,SCM,13,Coast,Bacillariophyceae,Guinardia delicatula,Diatoms,Autotroph,0,0.01
2023,8,SCM,13,Coast,Bacillariophyceae,Paralia sulcata,Diatoms,Autotroph,0,0.01
2023,8,SCM,13,Coast,Bacillariophyceae,Pleurosigma angulatum,Diatoms,Autotroph,0,0.036478371
2023,10,Surface,4,Front,Bacillariophyceae,Thalassiosira sp.,Diatoms,Autotroph,0,0.01
2023,8,SCM,13,Coast,Bacillariophyceae,Rhizosolenia sp.,Diatoms,Autotroph,0,0.01
2023,8,SCM,13,Coast,Bacillariophyceae,Thalassionema frauenfeldii,Diatoms,Autotroph,0,0.01
2023,8,SCM,13,Coast,Bacillariophyceae,Thalassionema sp.,Diatoms,Autotroph,0,0.01
2023,10,Surface,13,Coast,Bacillariophyceae,Pseudo-nitzschia spp.,Diatoms,Autotroph,0,0.01
2023,10,SCM,6,Offshore,Bacillariophyceae,Pseudo-nitzschia spp.,Diatoms,Autotroph,0,0.01
2023,10,SCM,11,Front,Bacillariophyceae,Pseudo-nitzschia spp.,Diatoms,Autotroph,0,0.01
2023,10,SCM,13,Coast,Bacillariophyceae,Pseudo-nitzschia spp.,Diatoms,Autotroph,0,0.01
2023,10,Surface,1,Coast,Bacillariophyceae,Chaetoceros sp.,Diatoms,Autotroph,0,0.703494742
2023,10,Surface,1,Coast,Bacillariophyceae,Cylindrotheca closterium,Diatoms,Autotroph,0,2.240880963
2023,10,Surface,1,Coast,Bacillariophyceae,Ditylum brightwellii,Diatoms,Autotroph,0,0.289333781
